customer_id,first_name,last_name,email,street,city,state,country
0,Natalie,Stone,sydney87@example.com,56149 Gutierrez Throughway,Kevinville,Maryland,Kyrgyz Republic
1,Garrett,George,xbruce@example.org,420 Rebecca Pike,New Ashley,Utah,Jamaica
2,Samuel,Robinson,katrina02@example.org,5041 Richard Harbors,Laurenmouth,Alaska,Aruba
3,Samantha,Daugherty,joel30@example.net,9592 Jackson Field Apt. 815,South Glennland,Louisiana,Nepal
4,Tina,Miller,jonathan20@example.org,82368 Lee Trail,Davistown,Arizona,Oman
5,Kenneth,Strickland,lsmith@example.com,476 Sparks Park Suite 873,Brittanyland,Michigan,Belgium
6,Mary,Coleman,bruce43@example.net,55097 Andrew Underpass,Marshbury,Arizona,British Indian Ocean Territory (Chagos Archipelago)
7,Joshua,Benitez,william82@example.net,92178 Deborah Landing Suite 384,Kimberlyville,Iowa,Saint Pierre and Miquelon
8,Troy,Kramer,lisa55@example.net,63291 Ramirez Point,Lake Wendy,Mississippi,Australia
9,Catherine,Wells,gerald26@example.org,416 Ernest Creek Suite 149,Lake Douglas,North Carolina,Namibia
10,Alicia,Contreras,david22@example.com,691 Thomas Harbor,Christopherton,Wisconsin,Kyrgyz Republic
11,Brianna,Chambers,gregoryrichard@example.com,04980 Megan Ridge,Mooreborough,North Dakota,Mali
12,Katherine,Williams,blake94@example.net,473 Sullivan River,South Ashleyborough,North Carolina,Botswana
13,Jennifer,Hawkins,marquezcynthia@example.org,64755 Jones Parkway Suite 593,West Katelynchester,Mississippi,India
14,Joel,Scott,andrew65@example.org,15647 Roberts Streets Apt. 981,North Angelaton,New York,Tokelau
15,Chad,Wilson,jonathan07@example.org,281 Teresa Cliff,Port Sheilaberg,Virginia,Cayman Islands
16,Sean,Rodriguez,jocruz@example.com,0884 Walsh Forge Apt. 184,South Tammieshire,Michigan,Vanuatu
17,Cody,Gilbert,kramerlinda@example.com,913 Jose Cliff Apt. 591,South Katherine,New Mexico,Cocos (Keeling) Islands
18,Michael,Harris,walter51@example.com,6512 Johnson Extensions Apt. 352,Davidton,Connecticut,Suriname
19,Erin,Compton,afoster@example.net,8763 Moon Parkways,Collinsside,Ohio,Trinidad and Tobago
20,Michael,Long,wramirez@example.org,54411 Walters Mews Apt. 914,Matthewsville,Washington,Hungary
21,Brett,Medina,jennifer93@example.org,39038 Knight Port Apt. 312,Knightmouth,Illinois,Dominica
22,Lisa,Barnes,proctorscott@example.com,3377 Alexander Roads Suite 415,East Andreaville,Virginia,French Southern Territories
23,Ricky,Paul,solisdon@example.org,263 Katherine Spurs,West Brittany,New York,British Indian Ocean Territory (Chagos Archipelago)
24,Amanda,Martin,brodriguez@example.org,4618 Richard Oval,Jamestown,North Dakota,Chile
25,Joseph,Robinson,qrodriguez@example.com,907 Walker Throughway Suite 874,East Rachel,South Carolina,Mayotte
26,Jessica,Nelson,markmartin@example.org,67063 Jeanne Overpass,North Michael,Indiana,Pitcairn Islands
27,Betty,Coleman,egonzales@example.org,7936 Robles Stravenue,West Kimmouth,West Virginia,Jamaica
28,Michele,Bell,karina18@example.net,2585 Rodriguez Mountain,Ronaldport,Hawaii,Burkina Faso
29,Mike,Hernandez,carl07@example.net,362 Lucero Court Suite 804,New Candice,Mississippi,Central African Republic
30,Charles,Pace,tgarcia@example.org,786 Kathryn Circle,Kaylabury,Missouri,Canada
31,Melinda,Holmes,kblevins@example.org,85703 Jonathan Stream Apt. 166,Barbaraport,Louisiana,Saint Lucia
32,Jon,Woods,pauljenny@example.com,12448 Julia Burg Suite 566,Andrewhaven,Nevada,Falkland Islands (Malvinas)
33,Robert,Baldwin,rickycoffey@example.net,4738 Jason Falls,New Stanleyfurt,Mississippi,Isle of Man
34,Jamie,Anderson,simpsonpatricia@example.com,7664 Perkins Gateway,South Barbara,Florida,Finland
35,Eric,Pacheco,douglas79@example.com,2284 Ricardo Corners,East Peterborough,Tennessee,Maldives
36,Christopher,Andrews,tfitzpatrick@example.com,375 Christian Streets,North Bailey,North Dakota,Svalbard & Jan Mayen Islands
37,Paula,Russell,rcole@example.net,46480 Diane Bridge Apt. 698,Jamesstad,Alabama,Norfolk Island
38,Michael,Cox,martinalicia@example.com,2068 Hawkins Fort Suite 974,Lake Bonnie,Utah,Saint Martin
39,Damon,Hill,sheena41@example.com,353 Morgan Fort Suite 551,East Michaelfort,Nebraska,Suriname
40,Julie,Parsons,anthony29@example.net,9238 Burke Inlet,North Andrewfurt,New York,Austria
41,Natalie,Garcia,brownangela@example.com,9677 Thomas Glens,East Sharon,Georgia,Egypt
42,Emily,Payne,manuel98@example.org,3897 Sarah Circle Apt. 905,Lake Victoriaberg,Utah,Malaysia
43,Sarah,Cohen,pgarrett@example.com,912 Herrera Street,Hardyton,Alabama,Malta
44,Arthur,Pitts,wongamy@example.com,49845 Alexis Tunnel Apt. 956,North Aaron,Virginia,Vanuatu
45,Steven,Rose,kimberlyblack@example.com,73997 Williams Via Apt. 504,Lake Paulfort,Virginia,Guyana
46,Joann,Duarte,brendabutler@example.com,5003 Watkins Island Apt. 678,Walkermouth,New Hampshire,South Africa
47,Brittney,Parsons,kmiller@example.net,4460 Huynh Summit,Mcdowellberg,Iowa,Congo
48,Mary,Montgomery,jennyshields@example.com,17705 Mark Lock Suite 053,New Ethan,Alabama,Belize
49,Benjamin,Diaz,jessica38@example.com,719 Jonathan Fort Suite 857,Lake Elizabethton,New Jersey,Uzbekistan
50,Mary,Jordan,jonathanyoung@example.com,377 Miller Place,North Johnmouth,Washington,Greece
51,Tyler,Gonzalez,perryclaudia@example.com,065 Corey Mills,North Dennisside,Colorado,Bolivia
52,Jerry,Burton,andrea30@example.org,25969 Salazar Burgs Apt. 212,Frankstad,Washington,Saint Lucia
53,Jeremy,Santiago,treynolds@example.net,5298 White Islands Apt. 075,East Michelle,Mississippi,Saint Barthelemy
54,Kenneth,Stewart,martincharles@example.org,92733 Fisher Hills,Wallacemouth,Wisconsin,Cocos (Keeling) Islands
55,Nathaniel,Wilson,adamsims@example.org,5008 Morgan Lock,New Hannah,Maryland,Madagascar
56,Kimberly,Fleming,joneill@example.net,512 John Forks Apt. 888,South Toni,Nebraska,Madagascar
57,David,Brooks,robertdyer@example.org,694 Sullivan Lodge Apt. 650,Port Michelle,Virginia,Madagascar
58,David,Davis,hsanders@example.net,16054 Griffin Court Apt. 094,Lake Alex,Utah,United States Virgin Islands
59,Matthew,Tucker,stevenfoster@example.net,2721 Taylor Meadows,Pearsonberg,Idaho,Comoros
60,Amber,Cummings,anthony51@example.org,604 Keith Extensions Apt. 859,Danielport,Michigan,Senegal
61,Shannon,Dominguez,tina60@example.org,12729 Meyer Parkways Apt. 911,Jonesshire,Nebraska,Korea
62,Jonathan,Anderson,kevin89@example.net,038 Bobby Bridge,Brandonstad,Virginia,Singapore
63,Wesley,Larsen,bhull@example.com,8865 Jonathon Mall Suite 152,Friedmanburgh,Florida,Portugal
64,Jose,Hogan,angela10@example.org,14162 Charles Lock Suite 213,Floresview,South Dakota,Cocos (Keeling) Islands
65,Robert,Guerra,kaylaherrera@example.org,867 Barrett Fork Apt. 086,Davisport,Missouri,Tunisia
66,Abigail,White,nicholasmoreno@example.com,7338 Aaron Valley Suite 304,Andrewport,Montana,Nicaragua
67,Maria,Richardson,kristin86@example.net,585 Valencia Well Apt. 666,West Marcusland,New Jersey,Palau
